,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn,Broadband conn
0,me2_119_7m,7mo,_02,0.7234418130044493,0.455922338833647,0.4899423766352952,0.3209029390728086,0.4050319814610519
1,me2_220_7m,7mo,_02,0.5202887257095731,0.44488417455130896,0.5831550051663882,0.3514441373691888,0.4148527997159799
2,me2_203_7m,7mo,_02,0.8304071195141405,0.6514481930535677,0.6344420782430449,0.47162630300297237,0.5609758473588503
3,me2_207_7m,7mo,_02,0.654405565756257,0.5073481666774168,0.6337516152636739,0.5225667677764045,0.5391924570074
4,me2_205_7m,7mo,_02,0.5223226436622234,0.5538015678286962,0.46969696762565605,0.43910124645774523,0.46967441672483207
5,me2_215_7m,7mo,_02,0.8057421458550647,0.7044768025451167,0.9223037415479973,0.5833262383195181,0.657530161451467
6,me2_217_7m,7mo,_02,0.29937327238934386,0.52356282977056,0.5179895967553292,0.5820305613756632,0.5424928992701059
7,me2_104_7m,7mo,_02,0.5634494585463907,0.4625004128044555,0.5385882978037682,0.5732709072235235,0.5579054701958565
8,me2_120_7m,7mo,_02,0.8187465017297142,0.8410036572299276,0.7394072545481183,0.5684700958002339,0.6487168259733994
9,me2_106_7m,7mo,_02,0.5236865902430432,0.39595210789637114,0.4161760333257498,0.4857008026604918,0.47154593919319304
10,me2_216_7m,7mo,_02,0.6222231827532083,0.6171589742609633,0.5419385561007811,0.26174581738148367,0.37081886414890747
11,me2_114_7m,7mo,_02,0.8967023038223884,0.5343685075916517,0.4245887477193434,0.43519348846419115,0.48307571000550836
12,me2_211_7m,7mo,_02,0.7445218225880542,0.7131948448883558,0.6998557776341706,0.6039107287380415,0.6369987783735782
13,me2_116_7m,7mo,_02,0.5986569657777863,0.5460231436209291,0.4028354318130197,0.34720546930515966,0.3870518447958983
14,me2_113_7m,7mo,_02,0.5401769377433916,0.5156103531036201,0.6121938283620522,0.5425303401749235,0.5691272959267143
15,me2_206_7m,7mo,_02,0.6792133850475022,0.4259960604240383,0.2567542684848345,0.37611261147168396,0.3767729811528313
16,me2_127_7m,7mo,_02,0.9145393549336563,0.8792889333282062,0.8523297004721675,0.7431040378015907,0.7941758494815809
17,me2_218_7m,7mo,_02,0.8273319898992959,0.5550108910518987,0.2117326839589623,0.5984056040178043,0.5440432043596244
18,me2_204_7m,7mo,_02,0.40155286948323093,0.33928574757278496,0.20178371772954454,0.4170908905113164,0.3492297921462634
19,me2_101_7m,7mo,_02,0.714343312188981,0.5628429306682284,0.4457618436702874,0.604375794680998,0.5912375144408333
20,me2_111_7m,7mo,_02,0.7582398156162206,0.7064156998799463,0.6804468602841376,0.5847633068560719,0.6247771771403973
21,me2_221_7m,7mo,_02,0.6648007118608132,0.6271229151716055,0.5348066715824232,0.40068069288950914,0.49551596801163
22,me2_128_7m,7mo,_02,0.7837175610753075,0.6205339391178335,0.3985898771310588,0.46724994560677385,0.4844009563679791
23,me2_209_7m,7mo,_02,0.6752852235042248,0.5952643025762427,0.5965380165289377,0.5564674573306919,0.570978946156746
24,me2_212_7m,7mo,_02,0.7956892235889536,0.7809831145642943,0.7971552553891683,0.8135977047881103,0.7938529851801026
25,me2_117_7m,7mo,_02,0.6921994335828343,0.6877236441488465,0.6443300079547052,0.45890301819113455,0.5403702177901358
26,me2_119_7m,7mo,_03,0.3201769585152305,0.30058431367969085,0.6231706574275108,0.3575220149630678,0.3904709134372779
27,me2_220_7m,7mo,_03,0.7698188325324176,0.5481441309194635,0.5717588067376657,0.43945753725225456,0.5009658653398386
28,me2_203_7m,7mo,_03,0.8367591559534541,0.7775086736372651,0.6044358318118102,0.5230000634096611,0.6027107280321529
