,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn,Broadband conn
0,me2_119_7m,7mo,_02,0.7429379273740211,0.476124193579695,0.339892815570977,0.3746081185642833,0.4304152376360822
1,me2_220_7m,7mo,_02,0.6756218779656985,0.5277659995097206,0.670657459666164,0.46345476062816293,0.5064915653618881
2,me2_203_7m,7mo,_02,0.7733430937739452,0.49027683739237454,0.6372570633857472,0.4243041735346591,0.500156859349159
3,me2_207_7m,7mo,_02,0.7473806408188697,0.6470401277734521,0.6237526173158785,0.5735589140826671,0.5935220171664699
4,me2_205_7m,7mo,_02,0.6605321614878684,0.6432533591836747,0.40436270335492075,0.6109114582274606,0.5895930548759202
5,me2_215_7m,7mo,_02,0.8454347415957988,0.7532886409403929,0.8623714890252946,0.7192037120387195,0.753117605158532
6,me2_217_7m,7mo,_02,0.7540430914582016,0.6797761004740227,0.7218746604977172,0.6790205570098032,0.7018149550607349
7,me2_104_7m,7mo,_02,0.7122803618759478,0.6520531055554663,0.6578106174061267,0.5412067863416236,0.596568352042488
8,me2_120_7m,7mo,_02,0.8673139836179152,0.8265293790321838,0.7182704258108844,0.7396145494470687,0.7402125591298829
9,me2_106_7m,7mo,_02,0.7109704785286524,0.6760309091986495,0.6367008679877372,0.5053974718234792,0.5627391963829258
10,me2_216_7m,7mo,_02,0.8206307326983189,0.5964208276518077,0.6053906432606693,0.5399870324419264,0.5940582008147477
11,me2_114_7m,7mo,_02,0.8903361784516363,0.7820733424136054,0.6721977827060963,0.5562181113977782,0.649209222619038
12,me2_211_7m,7mo,_02,0.8672794245251884,0.6741922777790471,0.796546705643423,0.7016245875148995,0.7149739247613149
13,me2_116_7m,7mo,_02,0.7587497550545231,0.8154541361123705,0.6156469644110403,0.5938815031924406,0.6369666991163035
14,me2_113_7m,7mo,_02,0.5384959989473248,0.6953709633683111,0.5085254150201908,0.542841473934262,0.5628302870651846
15,me2_206_7m,7mo,_02,0.6609250212363351,0.6810058368596678,0.6238272989984553,0.4430982294792297,0.5089418725563065
16,me2_127_7m,7mo,_02,0.8252849763806283,0.8400358032272707,0.8105279488405874,0.7205781047628858,0.7510298390335156
17,me2_218_7m,7mo,_02,0.775512598525337,0.8090205540680168,0.5141992136991956,0.7126187093005089,0.6813691435966936
18,me2_204_7m,7mo,_02,0.8391020641417067,0.6184707289141654,0.33673750378095885,0.49833852998574635,0.5192589809594551
19,me2_101_7m,7mo,_02,0.7247822765750007,0.6891575824523808,0.449762062567696,0.4386526272285526,0.5180401491680879
20,me2_111_7m,7mo,_02,0.7312501918481856,0.5527658421372835,0.46198814970649493,0.5205817537435292,0.5389295174270464
21,me2_221_7m,7mo,_02,0.9049599623295117,0.8256387489881989,0.797856086333374,0.7239717391895742,0.7606138742254299
22,me2_128_7m,7mo,_02,0.9029783208613207,0.732539456965529,0.5892370135711357,0.49226232577718937,0.5738841102544303
23,me2_209_7m,7mo,_02,0.7117263044844647,0.6271576839255532,0.7043071391090877,0.5625584996399007,0.6182197351188217
24,me2_212_7m,7mo,_02,0.7631238476874351,0.6896623029142578,0.7355661716018552,0.694782317989203,0.6988729777911951
25,me2_117_7m,7mo,_02,0.9110693471305323,0.6945115580679456,0.6667027312586986,0.7358177211352364,0.7267473552422626
26,me2_119_7m,7mo,_03,0.6580169373165714,0.4626493907180108,0.44544766002235514,0.4970905448904805,0.4992198109356384
27,me2_220_7m,7mo,_03,0.9401938510697995,0.8529392438380836,0.7274918117909642,0.47984424786563884,0.6147335381811265
28,me2_203_7m,7mo,_03,0.944405435631289,0.8393611489853925,0.8301598550786846,0.709352818152682,0.7679292384993884
29,me2_207_7m,7mo,_03,0.6436554641822547,0.49627160667450537,0.5206093290072021,0.4384732787214421,0.47012612394088377
30,me2_205_7m,7mo,_03,0.754440522514664,0.8278509563005312,0.7810772280494355,0.778787409289443,0.7663217212821911
31,me2_215_7m,7mo,_03,0.9070831273523555,0.862755461463115,0.830300217465897,0.7709063990375751,0.7980062658969332
32,me2_217_7m,7mo,_03,0.737263392973443,0.8079411272537492,0.6897119226543506,0.6880086024965254,0.7020202223241913
33,me2_104_7m,7mo,_03,0.6068900033174729,0.7417637096968391,0.6342263368651416,0.6228596745654851,0.6385117160464475
34,me2_120_7m,7mo,_03,0.8539393586032369,0.8752499481637367,0.7734750078682752,0.6453477276155103,0.700759264385149
35,me2_106_7m,7mo,_03,0.7176968007177984,0.726535974672152,0.827152219323348,0.602791443677755,0.659603142351299
36,me2_216_7m,7mo,_03,0.8924503965687346,0.5327668229360666,0.685910317510194,0.5964818462040696,0.6393920447647039
37,me2_114_7m,7mo,_03,0.9418839781218584,0.834284655588612,0.6775386833372221,0.5950354193706868,0.6557507816170065
38,me2_211_7m,7mo,_03,0.8169229355645001,0.8212541986248837,0.6183996211411307,0.6027254764431546,0.6275645871845892
39,me2_116_7m,7mo,_03,0.7171500528401263,0.7513088453224362,0.7280943404572708,0.6075923791377452,0.6298206771559662
40,me2_113_7m,7mo,_03,0.7214689397961771,0.6366604983728589,0.583324804443041,0.6323814536608746,0.6456548204622996
41,me2_206_7m,7mo,_03,0.675933995799785,0.6038691058469737,0.5611317213584883,0.5303298212695574,0.5475533686548776
42,me2_127_7m,7mo,_03,0.846325984246093,0.6283491687474979,0.5954100349584737,0.4259064002044423,0.5280654550529911
43,me2_218_7m,7mo,_03,0.689987629475501,0.7765589714820187,0.7406983152744347,0.5369570500667522,0.614795899718144
44,me2_204_7m,7mo,_03,0.7845994402375608,0.7944662830307313,0.8361489822109315,0.450227788389315,0.5969483313558058
45,me2_101_7m,7mo,_03,0.6307142186933222,0.4229833586713017,0.48821019459113396,0.5954282467660581,0.5610272726718286
46,me2_111_7m,7mo,_03,0.3770894977385977,0.6384907264574232,0.6133329858651044,0.4537645671621133,0.4960000758584103
47,me2_221_7m,7mo,_03,0.6469551349553744,0.7836027252371324,0.6755153469234041,0.653721559024597,0.6583276929586512
48,me2_128_7m,7mo,_03,0.9229187659464624,0.9544546345476207,0.7724499891602331,0.6719875572860919,0.7215712428294825
49,me2_209_7m,7mo,_03,0.8335820761343453,0.702102601845731,0.7257450335168073,0.5195710615370644,0.5825392730544293
50,me2_212_7m,7mo,_03,0.8105191277031691,0.8436009927439201,0.81839446543675,0.6114730644184218,0.6736456470829932
51,me2_117_7m,7mo,_03,0.8219459074854565,0.705409567584988,0.7109267266748579,0.6029228435448505,0.6586045608976171
52,me2_119_7m,7mo,_04,0.7160124146945476,0.5357130377548475,0.42657984989809405,0.39281927654393306,0.4567372788767175
53,me2_220_7m,7mo,_04,0.8466636146528952,0.7841371105968874,0.4684125250405384,0.3997021398075349,0.4857473107536224
54,me2_203_7m,7mo,_04,0.7663692320961493,0.7282030507419547,0.6133256411163133,0.537463780237429,0.5936682385418304
55,me2_207_7m,7mo,_04,0.7090199178762667,0.6376746550695236,0.7313880413592287,0.48027770488782956,0.5620253894173044
56,me2_205_7m,7mo,_04,0.6458802468598457,0.6151066937129037,0.5429619942112481,0.36337179876447967,0.43836500247620236
57,me2_215_7m,7mo,_04,0.6364358057950815,0.5505261143301484,0.45758462855423926,0.5044284836242795,0.5153780081451074
58,me2_217_7m,7mo,_04,0.9156508544728289,0.8637175062600501,0.7297385896371835,0.66343141727819,0.7091369338053716
59,me2_104_7m,7mo,_04,0.9695678508962471,0.8707299207577464,0.7033408908504178,0.6882745513366465,0.7362907271468349
60,me2_120_7m,7mo,_04,0.9304834187265024,0.8772045165585345,0.7995336603246237,0.6937294905614273,0.7657291341545638
61,me2_106_7m,7mo,_04,0.790006176457934,0.8903804433215106,0.7242270731324606,0.6689844137947941,0.7074487561319007
62,me2_216_7m,7mo,_04,0.6284157558251747,0.6846458705796882,0.7046685626831137,0.5462897373730847,0.588401501048689
63,me2_114_7m,7mo,_04,0.7923980562843416,0.7316594252606481,0.678971694483221,0.5471000143996739,0.6214081475585413
64,me2_211_7m,7mo,_04,0.8305599492632108,0.8339316197660914,0.6857280312131647,0.4113061382659092,0.5497110160811295
65,me2_116_7m,7mo,_04,0.6477813474996608,0.7353817130642559,0.6983913790029298,0.5268341854862523,0.5717099096253396
66,me2_113_7m,7mo,_04,0.7956564725606308,0.7233339876907984,0.6449782226187251,0.6482140167465883,0.6658419450093781
67,me2_206_7m,7mo,_04,0.811957539900016,0.5962852402513074,0.7116237023117538,0.46780796524267176,0.5481730882387336
68,me2_127_7m,7mo,_04,0.666462804527865,0.5154009628238471,0.5251449408142514,0.39342942090711847,0.4548759860959704
69,me2_218_7m,7mo,_04,0.6343836415773024,0.6986349078809058,0.5025689641567859,0.5670342790535081,0.5700583885567811
70,me2_204_7m,7mo,_04,0.8983987403879244,0.798006661806128,0.7503423690279034,0.5434794479349264,0.6227576485970844
71,me2_101_7m,7mo,_04,0.7436465434794894,0.7453795646871952,0.46661683480849403,0.47866536766773427,0.5522971780167802
