,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn,Broadband conn
0,me2_119_7m,7mo,_02,0.8139732771591313,0.37564783537713886,0.49442141516800575,0.2500021877640368,0.36577699567677124
1,me2_220_7m,7mo,_02,0.5480810813576034,0.6472205517253771,0.5279902834761588,0.4719438072211627,0.5098043776436845
2,me2_203_7m,7mo,_02,0.8788757407759553,0.6527769080054167,0.7926244576416054,0.7479959172175509,0.7550944395603864
3,me2_207_7m,7mo,_02,0.4455569883879209,0.5032894696178734,0.46566095639442795,0.576420677575652,0.5130006878050567
4,me2_205_7m,7mo,_02,0.49533439006067126,0.5522407035269091,0.601334755072845,0.6157045588557545,0.5909805685933663
5,me2_215_7m,7mo,_02,0.911508628852888,0.8364135752870747,0.9566460549989457,0.7276731007209204,0.7954389466037575
6,me2_217_7m,7mo,_02,0.7686133460843373,0.8139409600126257,0.8129984960183252,0.8395022057656498,0.8265903971393971
7,me2_104_7m,7mo,_02,0.6950663086660864,0.5871720922678293,0.40110105737905755,0.5629180289374375,0.550941209677505
8,me2_120_7m,7mo,_02,0.738314901134117,0.8199120396935043,0.7963393374655049,0.7301060440817462,0.7478967645914656
9,me2_106_7m,7mo,_02,0.6340377154291266,0.6058065413688248,0.6127288932184998,0.5110254209518463,0.5701167062473291
10,me2_216_7m,7mo,_02,0.832580639220275,0.6894608700136962,0.830290874243711,0.5166609822405998,0.6151208867943568
11,me2_114_7m,7mo,_02,0.9518638902147359,0.7861449572851928,0.6272844460053307,0.6292645604975807,0.6866730401647229
12,me2_211_7m,7mo,_02,0.8399037441726163,0.7611944432824366,0.8737147080206459,0.6753266839599413,0.721140760739113
13,me2_116_7m,7mo,_02,0.8068464438303755,0.7040586961241069,0.666405935907165,0.5950693522598424,0.6261086247567667
14,me2_113_7m,7mo,_02,0.7272632501188271,0.6647130525843888,0.7248515901278939,0.7445276174031775,0.7259525711626389
15,me2_206_7m,7mo,_02,0.7685383647039606,0.5892639688117535,0.4787975242071962,0.3775160305595496,0.45452231798181814
16,me2_127_7m,7mo,_02,0.9358467866494193,0.9595063309531504,0.8791387259488078,0.8439058143895547,0.8743621570959235
17,me2_218_7m,7mo,_02,0.7992214312415235,0.7283578124767011,0.7216196285818939,0.6454558104444194,0.675523664962592
18,me2_204_7m,7mo,_02,0.8170705104127358,0.5158148830083242,0.477054187167494,0.2739730910203104,0.39120204656768004
19,me2_101_7m,7mo,_02,0.7069208167012969,0.5512630142469025,0.46674019006784734,0.5885971641968581,0.5788158751474343
20,me2_111_7m,7mo,_02,0.7842073289647975,0.586109168595978,0.4289324716672112,0.4002651322483365,0.4674258454602557
21,me2_221_7m,7mo,_02,0.8420440921034249,0.8307124809676969,0.7339083841967647,0.6981907934644757,0.7291181440307044
22,me2_128_7m,7mo,_02,0.8690029803312449,0.7577501111590448,0.582299331754623,0.6436054298034606,0.6505037685947181
23,me2_209_7m,7mo,_02,0.7463689453710823,0.7271262565639899,0.5114116531243296,0.47745528243920793,0.529264569038719
24,me2_212_7m,7mo,_02,0.608060546700177,0.6333235364832547,0.7762707337920645,0.6429907022449136,0.6440784004002537
25,me2_117_7m,7mo,_02,0.8290736265425789,0.5247179250190546,0.47580420825638625,0.5875244139780793,0.5949309134807397
26,me2_119_7m,7mo,_03,0.6787034538824952,0.45498804852889607,0.3331279674215564,0.3371139830335528,0.3686890562084429
27,me2_220_7m,7mo,_03,0.8455119252516535,0.7008270035117294,0.684407544448357,0.5962572126750568,0.6488399345906966
28,me2_203_7m,7mo,_03,0.9008513111527982,0.8895974430834948,0.7012364586296387,0.6546418420645872,0.7103351558001961
29,me2_207_7m,7mo,_03,0.5487521180807806,0.664518653031136,0.7031362956751642,0.6546181628409545,0.6367599833802576
30,me2_205_7m,7mo,_03,0.8406039498238289,0.7119714863400652,0.6362885117880879,0.4828617541728123,0.5618383234591293
31,me2_215_7m,7mo,_03,0.9707769067330813,0.9252285591774261,0.912675728693972,0.9061542514221513,0.9145469739266603
32,me2_217_7m,7mo,_03,0.8106889116068962,0.8095513497463148,0.7994203064044781,0.7876077862976423,0.788029855359464
33,me2_104_7m,7mo,_03,0.7813022615913455,0.7935394371760137,0.6853825398041912,0.610889768013952,0.6470034319528736
34,me2_120_7m,7mo,_03,0.7224494133911957,0.6409411327277114,0.7094810741129163,0.5617968787266866,0.5930671969751331
35,me2_106_7m,7mo,_03,0.8243566784926639,0.8732002407879816,0.746644532257028,0.44729487534464557,0.5790259390313004
36,me2_216_7m,7mo,_03,0.8939264327135662,0.7954180025114362,0.7885032547356053,0.6542782156373381,0.7184208556351269
37,me2_114_7m,7mo,_03,0.9599975153007468,0.887394798375897,0.657555279624279,0.44243676758129274,0.5947099873289204
38,me2_211_7m,7mo,_03,0.9120478354905113,0.9076578641550416,0.5688599805189183,0.6259243931595786,0.6776969952382085
39,me2_116_7m,7mo,_03,0.8143114334562331,0.7844021500917983,0.7509796966591209,0.6831089355839949,0.699064221093222
40,me2_113_7m,7mo,_03,0.6451646673159855,0.7229649407088109,0.7639337132545205,0.6264335934840157,0.6432937036687828
41,me2_206_7m,7mo,_03,0.9246106805301254,0.7809479885735212,0.642941520119665,0.5452344100788162,0.6132626813082573
42,me2_127_7m,7mo,_03,0.9350699766092752,0.7474885838210016,0.5641798185542563,0.45714847874619385,0.561935921064009
43,me2_218_7m,7mo,_03,0.6899769228840583,0.5591176946345323,0.4044678661357446,0.546478070707372,0.5389790930018331
