,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn,Broadband conn
0,me2_119_7m,7mo,_02,0.8771206760428991,0.9263090836240867,0.9381375147802858,0.8652952755215219,0.8812710665401741
1,me2_220_7m,7mo,_02,0.9059000551876881,0.8980178705735797,0.9218199499381899,0.8721361328242704,0.8813342787952811
2,me2_203_7m,7mo,_02,0.9701449089987368,0.9253630693007003,0.896792207230924,0.8183049495990946,0.8611563649149214
3,me2_207_7m,7mo,_02,0.9661082998606587,0.9142094341948542,0.9719188093728143,0.9230771948799886,0.933670754355854
4,me2_205_7m,7mo,_02,0.9689873607462106,0.952849529343296,0.8722509294644116,0.7791603912973272,0.8261398558916468
5,me2_215_7m,7mo,_02,0.9726912008266113,0.9263640242970215,0.9457403905847938,0.9301014571392222,0.9351866368365575
6,me2_217_7m,7mo,_02,0.9424615298060183,0.9193493116329832,0.8986788858029646,0.901152485534499,0.9088630135996953
7,me2_104_7m,7mo,_02,0.9325983821330333,0.8337856082686564,0.8961444327859265,0.8712108184082074,0.8792057275101809
8,me2_120_7m,7mo,_02,0.9345269233548059,0.9554806504196748,0.9593075227589558,0.9268860979415243,0.9390096526447964
9,me2_106_7m,7mo,_02,0.9850130971959362,0.9485550653090462,0.9361921084006888,0.9147777682487298,0.9281015511781067
10,me2_216_7m,7mo,_02,0.9646158463019141,0.9411071429065624,0.8837500103247902,0.8951565566561702,0.905631248208681
11,me2_114_7m,7mo,_02,0.9711881834865985,0.8780321118910763,0.7983436434125387,0.7772482523012006,0.8182172645671971
12,me2_211_7m,7mo,_02,0.8728430920468458,0.9519599317891639,0.8946222895874479,0.876873212459233,0.883685551808346
13,me2_116_7m,7mo,_02,0.9663468507807141,0.9268480627209107,0.9019165783801653,0.8925996678555405,0.9032234901591594
14,me2_113_7m,7mo,_02,0.8716573433683467,0.8727487281045445,0.7853096346684959,0.8561991642962525,0.8484992613151908
15,me2_206_7m,7mo,_02,0.9558235822132252,0.9106446464196118,0.7400928264802039,0.8588119245772329,0.8573424648750272
16,me2_127_7m,7mo,_02,0.971910887378574,0.9512177261614632,0.9616416711037946,0.9562716541807279,0.9615574876402511
17,me2_218_7m,7mo,_02,0.9512079559438621,0.9433487268774848,0.9124468797295002,0.9239928201882293,0.9250037173944452
18,me2_204_7m,7mo,_02,0.8155088676015853,0.7843023376636211,0.7059978328415013,0.909833568624854,0.855193732750142
19,me2_101_7m,7mo,_02,0.9180333397334811,0.9325503479373769,0.8776411247481523,0.9098327729194235,0.9000803092551777
20,me2_111_7m,7mo,_02,0.9361017903153335,0.9073994326292244,0.9161617082790031,0.9246500667993516,0.922577112220682
21,me2_221_7m,7mo,_02,0.9861275185342033,0.9550759779177056,0.9483319072918535,0.9156370824344227,0.9305056462125672
22,me2_128_7m,7mo,_02,0.9568058507791964,0.8488514949793596,0.8239607684628807,0.855548288394748,0.8606861802571214
23,me2_209_7m,7mo,_02,0.9191317336014849,0.9069017314783825,0.9045382144668533,0.7632144309444212,0.8180383740123892
24,me2_212_7m,7mo,_02,0.8491240602991704,0.9220246942893694,0.8907309666394316,0.9049001249573677,0.8999779453390875
25,me2_117_7m,7mo,_02,0.9696219269312844,0.9323177172365541,0.8794703554831216,0.8930382047574554,0.8983931156414801
26,me2_119_7m,7mo,_03,0.9536206490340025,0.919248517402847,0.9149167196383875,0.8971216963606969,0.9096152713362955
27,me2_220_7m,7mo,_03,0.9703771048444678,0.9633470581653631,0.9399082654050226,0.9040408516605631,0.9174165372654365
28,me2_203_7m,7mo,_03,0.9895201223847617,0.973408012822747,0.9446282025471268,0.9304007652981331,0.941878293087818
29,me2_207_7m,7mo,_03,0.9260944869122574,0.9399443194739895,0.9350888359386675,0.920516079382326,0.9224792846484422
30,me2_205_7m,7mo,_03,0.9402863772254872,0.9350014971012994,0.9288759169554514,0.9284660023691164,0.9329325823719559
31,me2_215_7m,7mo,_03,0.9777080903774764,0.9544362737221211,0.9324624624094523,0.9077094455144477,0.9247268769343386
32,me2_217_7m,7mo,_03,0.9730329023464299,0.982440592205623,0.9772971263527879,0.9454989346467212,0.9562982556477039
33,me2_104_7m,7mo,_03,0.9312258554754735,0.9145449936247089,0.9327414877462626,0.9002159802378317,0.9094696351260694
