,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn
0,me2_119_7m,7mo,_02,0.5589192804923975,0.519530698716174,0.3483600981971475,0.4971846145359327
1,me2_220_7m,7mo,_02,0.7318086512886732,0.5974846900727467,0.541926415185963,0.38657405911581627
2,me2_203_7m,7mo,_02,0.8631538613498234,0.7059639258337237,0.6063995808983966,0.47140381553272626
3,me2_207_7m,7mo,_02,0.7206090910160146,0.6749141135078931,0.4008744237335221,0.5218183304845977
4,me2_205_7m,7mo,_02,0.6384473160179414,0.6810708172711689,0.46697374062500474,0.5198236101857863
5,me2_215_7m,7mo,_02,0.8574580030282193,0.6719622099288298,0.6423151866378728,0.6221032540895096
6,me2_217_7m,7mo,_02,0.6201733291311998,0.7412172715657761,0.732492347458893,0.7144517710118362
7,me2_104_7m,7mo,_02,0.6904556476392053,0.6389713346028347,0.4514671670099797,0.5399962213320415
8,me2_120_7m,7mo,_02,0.9580609783943734,0.7765439544272448,0.7777302808977616,0.8708223312877407
9,me2_106_7m,7mo,_02,0.8357607248050996,0.6953342442925282,0.7451984209052739,0.6700833655029043
10,me2_216_7m,7mo,_02,0.8308726530311042,0.768209972156937,0.6823595255360512,0.6150502072516317
11,me2_114_7m,7mo,_02,0.7011760621216528,0.658833780082931,0.5815890513666543,0.4263101323585111
12,me2_211_7m,7mo,_02,0.6057704640866566,0.42959273060041825,0.6571040965134792,0.5230888849508032
13,me2_116_7m,7mo,_02,0.3737071682885665,0.5690045008322246,0.33608915760503455,0.3357892444070764
14,me2_113_7m,7mo,_02,0.7902148836502606,0.7882841938332182,0.6083878643033137,0.728086702937605
15,me2_206_7m,7mo,_02,0.5663530789849553,0.5846979190410108,0.4893563663376567,0.5041717189021184
16,me2_127_7m,7mo,_02,0.9404660931161849,0.9378761460628524,0.9037114745671058,0.8313178733484384
17,me2_218_7m,7mo,_02,0.614441492520476,0.5964432314569771,0.5567455087102005,0.5557090027349321
18,me2_204_7m,7mo,_02,0.62858913447444,0.4294317571438201,0.23165363059295044,0.391267692511996
19,me2_101_7m,7mo,_02,0.7922159844268779,0.6947933657115172,0.4897856955372299,0.5984534599213425
20,me2_111_7m,7mo,_02,0.8019649963171089,0.7395779491844341,0.7077380684929717,0.513714355811257
21,me2_221_7m,7mo,_02,0.9068415068562357,0.7894704084564836,0.8058232182149042,0.6799338940754063
22,me2_128_7m,7mo,_02,0.8518687699800914,0.6252390762959205,0.6717830893773858,0.6731658279407448
23,me2_209_7m,7mo,_02,0.6878444649447483,0.36534240864581236,0.4562372060777403,0.5158991363231088
24,me2_212_7m,7mo,_02,0.7721350127327321,0.7817241253948851,0.7483301646977079,0.6946930949626254
25,me2_117_7m,7mo,_02,0.7643461748860834,0.4414730553124989,0.47015596311871416,0.6201685490151241
26,me2_119_7m,7mo,_03,0.5981369241640381,0.43656940395904326,0.3656650017142731,0.4762670648711411
27,me2_220_7m,7mo,_03,0.8221394611496904,0.6309808610882446,0.48034021738396804,0.3074464577916594
28,me2_203_7m,7mo,_03,0.9284052995230768,0.7836359077548908,0.8137549368256478,0.7175253970790362
29,me2_207_7m,7mo,_03,0.7751758217537565,0.37427155498043935,0.5422936412113692,0.3934280829481232
30,me2_205_7m,7mo,_03,0.5160417979428472,0.6536657126001174,0.7129183508255805,0.7431545256851955
31,me2_215_7m,7mo,_03,0.8996826825087106,0.9172593321789898,0.9105724687479275,0.7895467450955067
32,me2_217_7m,7mo,_03,0.49532483488420426,0.6562116415887476,0.6153752508552985,0.5734078329613556
33,me2_104_7m,7mo,_03,0.87185222695634,0.7962897496249149,0.7089010335187425,0.5641861508425362
34,me2_120_7m,7mo,_03,0.642767842081454,0.7420657547210755,0.6592434784107412,0.5881690731395685
35,me2_106_7m,7mo,_03,0.7476503114580191,0.7916713340896002,0.8449098222499904,0.5184653544418523
36,me2_216_7m,7mo,_03,0.6913098016668215,0.717144562704276,0.7269582738055315,0.5529300923527173
37,me2_114_7m,7mo,_03,0.8866765578571026,0.8377407670847078,0.6453506213421965,0.5942733020052153
38,me2_211_7m,7mo,_03,0.9172830987207848,0.8238188466598011,0.586025621115559,0.5199295986261422
39,me2_116_7m,7mo,_03,0.4600875348388053,0.4559846847227603,0.5834335447435887,0.43111701187100676
