,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn,Broadband conn
0,me2_119_7m,7mo,_02,0.008778905799677859,0.03455601068534493,0.031102280939021395,0.003042490238979668,0.010848568130806544
1,me2_220_7m,7mo,_02,0.06144515420320832,0.013599270324101735,0.03368042097996691,0.010896252623742152,0.020600104583178624
2,me2_203_7m,7mo,_02,0.03780296052137016,0.007695158448566546,0.0035765775119631347,0.003336880195756038,0.006665493681966118
3,me2_207_7m,7mo,_02,0.04576231552047765,0.008553272987938076,0.012119329402611914,0.007297093982366097,0.013185277938365039
4,me2_205_7m,7mo,_02,0.021392674570241868,0.030642455820154423,0.003176916006497856,0.0017183936350692055,0.007101698542966369
5,me2_215_7m,7mo,_02,0.021888279397783927,0.004242919256752092,0.04149038998508931,0.01453257367777108,0.02051086859561368
6,me2_217_7m,7mo,_02,0.059268236546940675,0.018775917867353463,0.0016146490668780653,0.0019413055158030864,0.008746450564044024
7,me2_104_7m,7mo,_02,0.011211644371693173,0.008080632410981394,0.0030006606693262832,0.00569432442808746,0.006573661713366352
8,me2_120_7m,7mo,_02,0.03571226370617023,0.049103114011262015,0.013730962616450224,0.0006624395185754712,0.011580788351659137
9,me2_106_7m,7mo,_02,0.11607065186298132,0.043210954808653536,0.05133967267655842,0.014192181082318319,0.03322970556694197
10,me2_216_7m,7mo,_02,0.0387257780829234,0.013511019474367928,0.004515696084636027,0.0038201962169922598,0.008416904727811968
11,me2_114_7m,7mo,_02,0.03373870731488483,0.018247961804318476,0.016331476138495105,0.0015510162463454158,0.007799757200231381
12,me2_211_7m,7mo,_02,0.025675241738653036,0.005537738193356229,0.013736743180483511,0.010481487688701841,0.01325125577200933
13,me2_116_7m,7mo,_02,0.09423104923966427,0.0749595797168503,0.03484063376978389,0.009851725522430441,0.026918265176075522
14,me2_113_7m,7mo,_02,0.009283661087856585,0.009647988734049446,0.0035135537062349715,0.001691789786677462,0.003209541008263531
