,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn
0,me2_119_7m,7mo,_02,0.19959595959595958,0.2235256916996047,0.15139920948616603,0.05918181818181818
1,me2_220_7m,7mo,_02,0.4382222222222223,0.12388932806324111,0.06207114624505929,0.1362396694214876
2,me2_203_7m,7mo,_02,0.48278787878787877,0.10649802371541503,0.14447430830039523,0.07438016528925619
3,me2_207_7m,7mo,_02,0.34315151515151515,0.11626877470355731,0.17337549407114625,0.15815702479338845
4,me2_205_7m,7mo,_02,0.4304646464646464,0.3989565217391304,0.09859288537549407,0.09684297520661156
5,me2_215_7m,7mo,_02,0.40210101010101007,0.16098023715415022,0.0530909090909091,0.18455371900826442
6,me2_217_7m,7mo,_02,0.4601616161616162,0.2273201581027668,0.19320158102766796,0.11880165289256199
7,me2_104_7m,7mo,_02,0.2845252525252525,0.22232411067193675,0.13925691699604742,0.04925619834710744
8,me2_120_7m,7mo,_02,0.5278383838383838,0.36913833992094863,0.05966798418972332,0.026454545454545456
9,me2_106_7m,7mo,_02,0.25191919191919193,0.11747035573122531,0.1826719367588933,0.08425619834710743
10,me2_216_7m,7mo,_02,0.48181818181818176,0.12771541501976286,0.048379446640316195,0.09687603305785125
11,me2_114_7m,7mo,_02,0.43547474747474746,0.23892490118577073,0.2086956521739131,0.10541322314049588
12,me2_211_7m,7mo,_02,0.32610101010101006,0.0895494071146245,0.15108300395256916,0.08492561983471074
13,me2_116_7m,7mo,_02,0.4235959595959596,0.06883794466403162,0.07563636363636364,0.04611570247933885
14,me2_113_7m,7mo,_02,0.2122828282828283,0.15898814229249011,0.18339920948616603,0.060743801652892566
15,me2_206_7m,7mo,_02,0.39882828282828287,0.37147826086956526,0.14849011857707511,0.1379504132231405
16,me2_127_7m,7mo,_02,0.3866666666666667,0.4442687747035574,0.15316996047430828,0.12647933884297521
17,me2_218_7m,7mo,_02,0.2642828282828283,0.16762055335968376,0.2096442687747035,0.17216528925619834
18,me2_204_7m,7mo,_02,0.3974949494949495,0.1387826086956522,0.06400000000000002,0.18533057851239668
19,me2_101_7m,7mo,_02,0.18226262626262626,0.1849486166007905,0.2858181818181818,0.08589256198347107
20,me2_111_7m,7mo,_02,0.1690909090909091,0.09103557312252965,0.08208695652173913,0.13284297520661156
21,me2_221_7m,7mo,_02,0.466989898989899,0.2378814229249012,0.05021343873517786,0.08869421487603306
22,me2_128_7m,7mo,_02,0.17204040404040405,0.09489328063241106,0.15266403162055334,0.1830909090909091
23,me2_209_7m,7mo,_02,0.3667070707070707,0.18991304347826085,0.35860869565217396,0.12718181818181817
24,me2_212_7m,7mo,_02,0.49664646464646467,0.10615019762845851,0.09321739130434784,0.21259504132231405
25,me2_117_7m,7mo,_02,0.34363636363636363,0.289201581027668,0.3761581027667984,0.11746280991735536
26,me2_119_7m,7mo,_03,0.24791919191919196,0.08360474308300395,0.22102766798418974,0.18339669421487603
27,me2_220_7m,7mo,_03,0.317050505050505,0.10371541501976284,0.043256916996047425,0.052512396694214876
28,me2_203_7m,7mo,_03,0.37365656565656563,0.24382608695652172,0.11601581027667981,0.19269421487603305
29,me2_207_7m,7mo,_03,0.3788686868686868,0.16860079051383398,0.2697549407114624,0.13955371900826447
30,me2_205_7m,7mo,_03,0.5347070707070707,0.3200632411067193,0.18260869565217389,0.03707438016528925
31,me2_215_7m,7mo,_03,0.3105858585858586,0.028648221343873518,0.2929644268774704,0.03021487603305785
32,me2_217_7m,7mo,_03,0.2356767676767677,0.36531225296442693,0.2290592885375494,0.1278429752066116
33,me2_104_7m,7mo,_03,0.16068686868686868,0.05685375494071147,0.07917786561264822,0.06283471074380165
34,me2_120_7m,7mo,_03,0.1942222222222222,0.14820553359683794,0.17492490118577073,0.22823140495867766
35,me2_106_7m,7mo,_03,0.5149090909090908,0.14567588932806325,0.0595415019762846,0.09321487603305786
36,me2_216_7m,7mo,_03,0.34880808080808084,0.2254861660079052,0.13154150197628459,0.1258677685950413
37,me2_114_7m,7mo,_03,0.20028282828282828,0.3591146245059288,0.18845849802371542,0.22921487603305787
