,sub_id,age,condition,Delta conn,Theta conn,Alpha conn,Beta conn,Broadband conn
0,me2_119_7m,7mo,_02,0.016661931347329097,0.024206483600003634,0.04672647525892742,0.008542321540637117,0.01976376945924978
1,me2_220_7m,7mo,_02,0.09354673245997519,0.004262028507227108,0.007703603015442496,0.0010603402086901694,0.010467775719195827
2,me2_203_7m,7mo,_02,0.06203162327719553,0.04361382154167487,0.01450334616844363,0.001372720322924341,0.013143982793450486
3,me2_207_7m,7mo,_02,0.013293345584142857,0.009186650248272515,0.010453073448693825,0.026712429760699544,0.022443766675980185
4,me2_205_7m,7mo,_02,0.07374358150139612,0.058339061587603644,0.02864280398884784,0.013150281584381397,0.02436594614895766
5,me2_215_7m,7mo,_02,0.06539433829451921,0.025747979646700857,0.05130052017102546,0.004675157830971836,0.021231133475869482
6,me2_217_7m,7mo,_02,0.05715207107401575,0.02774552301822506,0.02210261893695475,0.0026617043997659707,0.013170713804265502
7,me2_104_7m,7mo,_02,0.07103456954495152,0.005139689098054512,0.017835576743405867,0.009125172876391079,0.01636699688345296
8,me2_120_7m,7mo,_02,0.07977240597889278,0.02002339877875896,0.022541118053851013,0.0013764421750204934,0.013507753675720548
9,me2_106_7m,7mo,_02,0.05819879273319454,0.011517315440269219,0.002153929643545665,0.004011721054329143,0.009481840698151835
10,me2_216_7m,7mo,_02,0.044168695857636706,0.020503653473239614,0.004486462140191738,0.0007839741977470275,0.0075149845029423125
11,me2_114_7m,7mo,_02,0.13627636133661572,0.06894084343262864,0.005688655249853852,0.00865361793310346,0.025135312944347156
12,me2_211_7m,7mo,_02,0.02435485693579377,0.0037618404583422403,0.0012020972716812726,0.0015024745818202976,0.0038715570921118835
13,me2_116_7m,7mo,_02,0.025441307099934987,0.015157694780715868,0.0015703566221475797,0.003376231311968223,0.006933587485703635
14,me2_113_7m,7mo,_02,0.026330703439686416,0.00424323142621808,0.003359359586456718,0.0015773643502567103,0.005059176070453229
15,me2_206_7m,7mo,_02,0.011833155323337717,0.0037519760533562974,0.0008411612977792465,0.0031040550978443204,0.0037529227690051427
16,me2_127_7m,7mo,_02,0.052436669928310704,0.02622938693955853,0.028417587494728752,0.005357358439107562,0.017422565035263078
17,me2_218_7m,7mo,_02,0.00557657868867646,0.004877675112448974,0.007476665097790494,0.001936834846218885,0.004218253984169357
18,me2_204_7m,7mo,_02,0.01725198028377385,0.0021161336683321293,0.004695922537884641,0.0131082071476346,0.010152103965106877
19,me2_101_7m,7mo,_02,0.016212754852218847,0.00481402605850487,0.014087105775307297,0.009864741190772831,0.011063583960236696
20,me2_111_7m,7mo,_02,0.049208699535310735,0.010688425157941637,0.0028284589871533034,0.0014635599780848838,0.006958904624675421
21,me2_221_7m,7mo,_02,0.013937409346965475,0.014037191295871472,0.011821581030566533,0.00384606307283742,0.00695642366583622
22,me2_128_7m,7mo,_02,0.03653702062743469,0.03942298373198845,0.014023285091486115,0.002235782528128481,0.011416637332162052
23,me2_209_7m,7mo,_02,0.012588800224700004,0.011190520183374441,0.023787720648713727,0.013716461017376714,0.014264030847308934
24,me2_212_7m,7mo,_02,0.04714138274196508,0.07980728702944884,0.025071968882111214,0.009607118910297979,0.022458357436214424
